COUNTY,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,Unnamed: 13_x,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,Unnamed: 13_y,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,OBJECTID,GEOID,STATE,COUNTY_CODE,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
Greene,12,15,13,16,22,31,36,56,20,69,76,121,,151400,169000,147000,165000,193250,155000,202450,221500,238500,260000,315000,319000,281,369,481,546,605,620,617,702,844,824,838,705,,110000,116000,111073,110000,113000,119209,128000,132950,149950,161750,200000,225000,2814,47059,47,59,TN,Tennessee,205.0,105.0,71.0,205.0,177.0,183.0,179.0,183.0,121.0,174.0,116.0,112.0,168.0,218.0,258.0,274.0,348.0,356.0,291.0,310.0,282.0,279.0,297.0,348.0,393.0,489.0,378.0,292.0,185.0,122.0,136.0,107.0,128.0,143.0,94.0,105.0,127.0,132.0,171.0,137.0,210.0,260,237.0
Grundy,1,3,1,1,0,1,2,16,4,14,22,11,,120000,45000,15000,163000,,139900,147500,144977,173000,292625,400000,399000,60,63,59,62,66,90,67,59,86,127,158,101,,72400,75000,84000,89000,96750,91000,84954,129900,112000,157000,178350,175000,231,47061,47,61,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5,5.0
Hamblen,15,22,22,30,29,28,43,56,14,50,119,172,,154900,187050,169100,163250,169000,156900,217900,200950,197700,301150,318865,303770,347,398,471,604,656,703,818,772,899,1001,848,684,,126000,124450,125000,125500,130000,135000,140000,148500,161000,189500,224200,227250,1098,47063,47,63,TN,Tennessee,125.0,83.0,128.0,121.0,125.0,39.0,67.0,83.0,123.0,49.0,100.0,72.0,81.0,360.0,409.0,442.0,415.0,430.0,417.0,327.0,308.0,292.0,159.0,211.0,238.0,284.0,267.0,254.0,178.0,79.0,80.0,58.0,89.0,53.0,53.0,79.0,93.0,133.0,145.0,134.0,270.0,581,322.0
Hamilton,580,603,632,674,784,883,812,1079,364,1160,1242,1170,,245510,259980,275000,279950,290000,291350,322067,338000,350000,378199,432892.5,450050,3103,3243,3827,4430,5226,5482,5811,5889,6946,7517,6162,4921,,160000,160000,161000,169400,177000,180000,187000,205000,247000,264900,306950,317000,1820,47065,47,65,TN,Tennessee,1830.0,799.0,920.0,1716.0,1557.0,3479.0,2706.0,3074.0,2086.0,1486.0,1032.0,1158.0,1320.0,1482.0,1620.0,1526.0,1661.0,1894.0,1672.0,1705.0,1426.0,1739.0,1699.0,2011.0,2074.0,2200.0,2271.0,1835.0,965.0,796.0,817.0,1095.0,1082.0,1574.0,2036.0,1639.0,2049.0,2133.0,1687.0,2013.0,2364.0,2804,2344.0
Hancock,0,0,0,0,0,0,0,0,,4,,1,,,,,,,,,,,77500,,215000,22,20,23,31,22,28,35,32,52,44,61,38,,73000,69500,80000,72900,87500,74500,70759,95000,97500,127700,134900,157500,2144,47067,47,67,TN,Tennessee,0.0,0.0,53.0,7.0,3.0,5.0,4.0,5.0,1.0,4.0,49.0,46.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,7.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0
Hardeman,2,1,5,1,3,5,1,3,,,7,2,,124025,78000,119000,154000,169100,154000,174500,194440,,,212900,270257.5,80,60,90,92,130,141,118,142,172,228,223,171,,79750,72000,79250,83800,90500,88000,80000,89950,93400,102500,134000,145000,1817,47069,47,69,TN,Tennessee,19.0,61.0,3.0,17.0,17.0,17.0,16.0,16.0,17.0,30.0,31.0,23.0,23.0,20.0,16.0,16.0,108.0,94.0,129.0,119.0,97.0,88.0,87.0,72.0,77.0,85.0,95.0,101.0,50.0,41.0,41.0,24.0,26.0,28.0,23.0,88.0,24.0,24.0,24.0,27.0,32.0,45,53.0
Hardin,10,9,6,6,21,17,25,33,10,21,33,43,,145358.5,118600,142450,268500,133000,174000,173250,165000,191250,249000,311800,315000,235,243,259,303,313,377,326,370,537,533,444,379,,106000,113000,100000,108000,119900,120000,125000,117500,155800,169900,183550,200000,2887,47071,47,71,TN,Tennessee,97.0,86.0,52.0,48.0,8.0,8.0,51.0,17.0,68.0,16.0,13.0,14.0,12.0,12.0,27.0,11.0,16.0,21.0,49.0,36.0,10.0,40.0,97.0,34.0,19.0,25.0,33.0,25.0,23.0,9.0,15.0,11.0,58.0,7.0,8.0,9.0,7.0,11.0,22.0,14.0,8.0,12,34.0
Hawkins,17,16,7,5,9,14,19,15,8,34,50,50,,129000,167500,140000,171600,168000,275400,235000,197000,200000,200000,272778,301112.5,236,322,374,388,433,536,525,518,641,740,610,540,,120500,120000,117667,117250,126000,129050,125000,139900,150000,168500,187700,220000,257,47073,47,73,TN,Tennessee,115.0,122.0,29.0,175.0,18.0,45.0,41.0,37.0,107.0,50.0,107.0,76.0,102.0,109.0,102.0,108.0,104.0,114.0,168.0,200.0,138.0,86.0,92.0,92.0,119.0,129.0,109.0,76.0,46.0,31.0,25.0,15.0,17.0,78.0,65.0,91.0,94.0,112.0,126.0,121.0,149.0,172,191.0
Haywood,3,2,1,4,1,2,1,1,,2,3,5,,260000,144000,259000,124750,123000,84000,247100,264900,,284900,188400,200000,72,80,59,76,104,93,124,93,147,240,184,121,,93000,102057,87500,97500,101500,116900,98250,119000,124400,97500,134500,155000,1395,47075,47,75,TN,Tennessee,142.0,47.0,53.0,67.0,22.0,76.0,57.0,46.0,87.0,23.0,14.0,12.0,25.0,26.0,34.0,34.0,37.0,35.0,68.0,64.0,59.0,60.0,62.0,42.0,44.0,55.0,56.0,62.0,12.0,67.0,17.0,12.0,101.0,19.0,18.0,16.0,19.0,14.0,15.0,16.0,18.0,25,19.0
Henderson,7,3,3,7,5,10,6,7,4,10,7,7,,115750,149900,149000,151500,169900,212250,214500,229900,239175,244000,295000,265000,148,154,159,190,221,239,249,239,294,308,264,212,,93750,97500,98000,88000,109000,111000,109900,120000,121750,150000,164325,165500,1934,47077,47,77,TN,Tennessee,19.0,7.0,128.0,54.0,27.0,15.0,19.0,32.0,41.0,35.0,30.0,30.0,38.0,43.0,47.0,93.0,89.0,74.0,92.0,73.0,27.0,25.0,28.0,32.0,29.0,33.0,33.0,19.0,9.0,17.0,53.0,9.0,30.0,6.0,1.0,9.0,4.0,8.0,16.0,16.0,10.0,20,20.0
Henry,9,6,10,20,14,18,5,18,3,18,17,15,,127150,130000,125150,149000,134975,142700,137700,179200,160000,272400,289900,199000,265,265,288,297,292,347,356,327,404,511,399,311,,83000,90000,98000,97000,94500,90000,109500,105000,122750,139000,159000,169000,601,47079,47,79,TN,Tennessee,171.0,159.0,8.0,16.0,19.0,92.0,67.0,15.0,15.0,30.0,8.0,12.0,35.0,32.0,25.0,23.0,54.0,126.0,40.0,27.0,17.0,38.0,23.0,124.0,39.0,45.0,33.0,28.0,18.0,13.0,12.0,11.0,14.0,18.0,13.0,15.0,17.0,18.0,21.0,18.0,18.0,22,22.0
Hickman,0,3,2,6,2,4,12,24,7,14,22,20,,,143900,151000,135500,145950,178500,203289,219847,230759,294750,306500,309900,78,80,109,201,196,149,186,186,225,164,144,156,,90000,115000,111000,115000,118825,115000,134900,150270,160500,181125,193000,252000,2110,47081,47,81,TN,Tennessee,129.0,3.0,1.0,3.0,3.0,5.0,3.0,6.0,23.0,10.0,12.0,15.0,6.0,18.0,24.0,27.0,25.0,33.0,27.0,10.0,0.0,4.0,28.0,8.0,5.0,4.0,4.0,0.0,3.0,1.0,0.0,25.0,6.0,32.0,50.0,53.0,55.0,67.0,73.0,110.0,84.0,131,124.0
Houston,1,1,2,1,2,3,1,2,,3,2,5,,108000,97000,173950,150000,130000,219700,100000,165750,,320000,209000,294900,37,42,49,59,66,84,51,65,74,95,89,66,,75000,82500,90000,100000,95000,90056,107000,128000,126200,160000,190000,205000,1522,47083,47,83,TN,Tennessee,15.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1,2.0
Humphreys,0,2,5,0,2,1,4,8,4,12,18,17,,,159000,108500,,80750,170000,243950,173950,220950,277450,254000,255000,118,144,161,162,185,190,216,183,210,267,239,201,,86500,90150,90000,92750,110000,114000,115000,124150,149200,161000,180000,192500,1502,47085,47,85,TN,Tennessee,19.0,19.0,72.0,9.0,5.0,7.0,17.0,14.0,12.0,18.0,15.0,16.0,26.0,25.0,22.0,27.0,37.0,25.0,30.0,35.0,20.0,25.0,59.0,26.0,29.0,32.0,25.0,23.0,8.0,17.0,58.0,1.0,4.0,3.0,10.0,10.0,8.0,10.0,11.0,10.0,14.0,20,43.0
Jackson,2,1,1,0,1,1,1,3,5,2,6,7,,104450,45000,97900,,155200,116000,30500,162500,180000,248000,302250,297000,39,82,66,83,98,116,95,109,98,115,141,97,,75000,83250,82500,84000,82500,85000,94500,92000,123950,150000,177000,150000,2159,47087,47,87,TN,Tennessee,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Jefferson,10,25,40,56,46,65,57,80,70,150,258,292,,160000,134900,135580,140648,139950,138055,170000,159900,156000,249950,291700,295585,317,373,456,534,579,621,707,651,778,853,704,567,,140000,134900,136000,139700,140000,150000,160000,174000,200000,229000,259000,275000,1005,47089,47,89,TN,Tennessee,34.0,124.0,42.0,29.0,5.0,27.0,34.0,16.0,4.0,13.0,38.0,42.0,66.0,174.0,193.0,323.0,286.0,216.0,309.0,376.0,320.0,300.0,365.0,387.0,468.0,463.0,417.0,472.0,161.0,138.0,124.0,76.0,78.0,118.0,98.0,109.0,143.0,135.0,157.0,263.0,212.0,330,578.0
Johnson,0,1,1,0,0,2,0,2,2,,2,,,,40000,126000,,,62000,,147500,156750,,197500,,54,98,95,92,76,115,85,150,215,79,175,78,,93000,115000,116500,115000,140000,111000,115000,148500,150000,134500,215000,150000,2229,47091,47,91,TN,Tennessee,20.0,11.0,0.0,2.0,5.0,2.0,5.0,3.0,8.0,1.0,87.0,36.0,204.0,34.0,41.0,34.0,42.0,42.0,62.0,71.0,82.0,93.0,106.0,102.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0
Knox,507,354,694,912,974,1236,876,1140,215,1746,1458,1409,,236186,234900,235065.5,"$243,460*","$274,053*",274733,304950,301631,345000,330012,395701.5,421120,3864,4631,5301,"6,946*","7,298*",8276,8714,8482,10152,9706,8028,6216,,168050,163000,166000,"$160,000*","$170,000*",170000,175137,199900,231000,260000,309825,335000,1630,47093,47,93,TN,Tennessee,2324.0,1461.0,1934.0,1601.0,1104.0,2299.0,1954.0,2636.0,2097.0,2501.0,2401.0,2368.0,2791.0,3210.0,3157.0,3343.0,4132.0,3326.0,2824.0,2910.0,2814.0,2901.0,2983.0,2961.0,4183.0,3836.0,3994.0,3357.0,1895.0,1399.0,1606.0,741.0,1299.0,1500.0,1912.0,1737.0,2122.0,2798.0,2398.0,2028.0,2978.0,2831,2503.0
Lake,0,0,0,1,0,0,0,0,,,,1,,,,,132150,,,,,,,,100000,23,23,32,24,33,37,19,28,48,60,59,30,,40000,57500,58125,51450,51000,57500,73000,75000,70000,72250,75000,75000,1194,47095,47,95,TN,Tennessee,11.0,8.0,12.0,6.0,4.0,31.0,7.0,10.0,10.0,8.0,18.0,11.0,56.0,25.0,17.0,16.0,6.0,23.0,22.0,23.0,7.0,2.0,6.0,7.0,8.0,10.0,10.0,9.0,9.0,6.0,7.0,9.0,7.0,6.0,6.0,6.0,1.0,4.0,2.0,7.0,0.0,5,2.0
Lauderdale,0,0,1,0,1,1,4,3,,,4,2,,,,149500,,37500,122000,157450,145000,,,160500,453605,94,112,117,125,143,158,146,139,179,265,236,151,,74750,71000,72000,80000,79900,81500,79500,83000,110000,120000,120000,135000,3102,47097,47,97,TN,Tennessee,13.0,8.0,37.0,17.0,61.0,29.0,24.0,93.0,77.0,24.0,144.0,142.0,152.0,97.0,149.0,181.0,118.0,93.0,106.0,98.0,104.0,106.0,155.0,183.0,149.0,132.0,114.0,94.0,62.0,35.0,33.0,29.0,31.0,37.0,14.0,11.0,14.0,22.0,27.0,28.0,32.0,32,16.0
Lawrence,7,9,13,23,21,28,49,60,24,92,82,51,,127000,164000,137500,135000,169000,194500,189500,206500,224650,231750,299000,315000,318,331,388,386,465,461,361,416,581,586,622,461,,78500,85000,85000,89000,100000,103000,100000,111000,145000,166950,185000,200000,2184,47099,47,99,TN,Tennessee,31.0,27.0,30.0,26.0,32.0,42.0,30.0,24.0,27.0,21.0,27.0,30.0,47.0,33.0,54.0,36.0,31.0,14.0,18.0,46.0,15.0,5.0,36.0,11.0,16.0,11.0,11.0,9.0,55.0,7.0,4.0,4.0,7.0,10.0,10.0,8.0,11.0,11.0,11.0,10.0,9.0,18,22.0
Lewis,0,0,1,0,1,3,5,9,1,24,17,24,,,,124407,,75000,110000,133500,134900,124900,192853.5,210000,263500,61,52,73,74,90,97,96,117,160,178,172,132,,65000,91500,105000,109200,107500,100000,125000,120000,148000,168250,185000,225000,1541,47101,47,101,TN,Tennessee,20.0,9.0,3.0,7.0,42.0,8.0,16.0,21.0,6.0,5.0,6.0,5.0,4.0,6.0,7.0,7.0,8.0,10.0,9.0,10.0,9.0,10.0,4.0,4.0,8.0,5.0,2.0,2.0,12.0,3.0,4.0,6.0,0.0,1.0,5.0,5.0,6.0,7.0,83.0,90.0,18.0,30,15.0
Lincoln,19,23,25,24,20,53,52,43,13,29,29,33,,120000,139900,149900,143250,130500,139900,149162,164450,205000,202000,271935,323000,216,251,251,276,353,385,413,402,498,517,453,344,,90000,95000,94500,101750,110000,106800,117500,134700,150000,175000,195000,215000,2415,47103,47,103,TN,Tennessee,4.0,8.0,7.0,4.0,79.0,28.0,16.0,36.0,18.0,17.0,49.0,11.0,10.0,18.0,9.0,8.0,16.0,19.0,10.0,8.0,6.0,11.0,10.0,4.0,0.0,14.0,16.0,12.0,20.0,6.0,23.0,138.0,4.0,2.0,3.0,8.0,9.0,18.0,16.0,5.0,139.0,167,153.0
Loudon,46,55,77,116,153,164,177,220,38,364,618,392,,234989.5,202900,283340,277934.5,288912,289727,292000,319250,275000,388950,392463.5,545000,369,510,569,644,756,807,850,854,1232,971,885,817,,190000,220000,206900,205000,202000,242000,239700,250000,287750,320000,356500,390000,1233,47105,47,105,TN,Tennessee,115.0,236.0,131.0,158.0,142.0,107.0,173.0,185.0,145.0,192.0,173.0,192.0,220.0,221.0,240.0,232.0,277.0,286.0,206.0,253.0,197.0,236.0,248.0,243.0,331.0,455.0,850.0,372.0,232.0,146.0,238.0,142.0,133.0,189.0,206.0,272.0,307.0,357.0,424.0,392.0,499.0,1117,704.0
Macon,22,20,40,16,33,26,26,39,18,71,74,69,,96000,122200,108802.5,114950,138000,154200,159100,169900,190950,245000,285000,306900,134,218,446,250,267,295,320,298,398,354,298,285,,86100,72000,79000,87000,103000,115000,116000,122285,163450,190000,237600,220000,879,47111,47,111,TN,Tennessee,16.0,5.0,1.0,3.0,3.0,1.0,43.0,10.0,11.0,8.0,6.0,10.0,8.0,19.0,23.0,8.0,14.0,17.0,11.0,12.0,18.0,22.0,24.0,21.0,47.0,28.0,49.0,31.0,70.0,22.0,28.0,67.0,15.0,62.0,7.0,78.0,14.0,15.0,19.0,2.0,177.0,110,136.0
Madison,119,152,124,101,122,165,149,168,42,141,158,155,,194500,191200,199400,173400,172500,189900,224900,219900,219700,265300,334700,315900,812,837,994,1039,1183,1285,1420,1550,1771,1564,1493,1155,,114282.5,114000,114900,119900,125000,127500,133500,139000,162900,186550,205000,217000,599,47113,47,113,TN,Tennessee,593.0,396.0,252.0,530.0,615.0,799.0,805.0,649.0,482.0,474.0,433.0,482.0,478.0,571.0,879.0,1070.0,664.0,672.0,885.0,852.0,593.0,763.0,644.0,722.0,688.0,624.0,695.0,501.0,370.0,223.0,222.0,163.0,501.0,198.0,195.0,201.0,223.0,395.0,234.0,241.0,252.0,294,248.0
Marion,6,7,11,12,9,16,21,23,4,24,27,21,,159550,130000,145500,147800,140000,197000,186000,209900,189000,316000,323900,310000,116,113,148,147,179,227,244,207,303,335,336,271,,112250,118700,127000,137900,120000,125000,135000,141500,170000,186500,213000,230000,243,47115,47,115,TN,Tennessee,120.0,98.0,83.0,116.0,148.0,135.0,143.0,104.0,172.0,159.0,155.0,152.0,171.0,211.0,218.0,152.0,187.0,146.0,183.0,187.0,241.0,200.0,161.0,142.0,140.0,129.0,138.0,127.0,98.0,67.0,49.0,50.0,57.0,65.0,74.0,90.0,115.0,119.0,128.0,119.0,165.0,244,258.0
Marshall,10,23,53,77,127,174,130,96,69,195,314,227,,96250,108900,127650,153900,169000,197425,219900,189999,229000,285000,346707,320000,190,240,330,397,391,485,321,357,463,602,488,400,,105500,105000,101750,115000,125000,140900,139900,160000,199900,244950,270000,293750,2193,47117,47,117,TN,Tennessee,88.0,30.0,1.0,8.0,8.0,9.0,56.0,153.0,223.0,178.0,169.0,254.0,191.0,168.0,172.0,165.0,257.0,252.0,187.0,205.0,152.0,329.0,172.0,216.0,232.0,264.0,260.0,163.0,179.0,112.0,66.0,48.0,57.0,99.0,102.0,107.0,155.0,143.0,162.0,161.0,189.0,236,239.0
Maury,132,178,238,406,525,746,835,825,191,1324,1289,1008,,172350,180000,204202,208105,232753,260500,289900,299990,280000,329994.5,414990,412282.5,688,927,1236,1345,1542,1615,1528,1657,2825,1824,1728,1264,,140000,149900,148000,165000,174531,185000,203000,229000,265700,297800,359000,364900,3091,47119,47,119,TN,Tennessee,228.0,44.0,34.0,193.0,113.0,373.0,269.0,226.0,412.0,305.0,815.0,646.0,553.0,862.0,680.0,755.0,866.0,1024.0,734.0,862.0,754.0,930.0,1209.0,1387.0,1702.0,1936.0,1956.0,1293.0,628.0,367.0,341.0,402.0,542.0,689.0,784.0,875.0,1226.0,1512.0,1566.0,1522.0,1891.0,2397,1863.0
McMinn,7,4,10,14,19,20,14,42,20,46,58,163,,146000,75237.5,167500,186500,150000,158200,174500,171300,218500,218450,300205,289900,245,291,364,413,479,519,588,578,733,890,689,637,,116650,105800,112000,115000,123500,125000,129000,142500,143000,163000,192000,209900,1311,47107,47,107,TN,Tennessee,54.0,87.0,86.0,38.0,104.0,78.0,79.0,67.0,54.0,53.0,150.0,57.0,55.0,69.0,112.0,91.0,65.0,63.0,260.0,48.0,65.0,45.0,49.0,62.0,98.0,69.0,71.0,64.0,43.0,15.0,0.0,13.0,8.0,10.0,24.0,15.0,18.0,14.0,24.0,24.0,27.0,51,114.0
McNairy,8,8,4,5,2,7,3,5,2,3,5,2,,134000,152500,121750,142000,149000,150500,75000,138020,160500,210000,265000,283250,130,136,148,185,168,204,226,184,275,288,275,228,,73450,75000,76000,83500,80000,79750,82525,92600,99000,125000,145000,157450,1083,47109,47,109,TN,Tennessee,69.0,9.0,5.0,13.0,9.0,49.0,17.0,35.0,28.0,30.0,18.0,22.0,19.0,28.0,23.0,24.0,33.0,27.0,24.0,27.0,23.0,26.0,18.0,27.0,28.0,31.0,27.0,24.0,13.0,11.0,72.0,8.0,17.0,2.0,11.0,3.0,5.0,6.0,6.0,6.0,4.0,5,5.0
Meigs,2,1,1,1,1,2,2,3,2,2,3,4,,190250,85000,109900,140000,176270,192000,153500,180000,280000,235500,315000,347500,45,47,51,62,67,100,79,82,78,128,106,93,,160000,112150,127000,159700,135000,170500,153500,195250,204500,217500,247500,265000,2173,47121,47,121,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,8.0,7.0,8.0,5.0,88.0,40.0,60.0,111.0,95.0,63.0,40.0,34.0,28.0,21.0,27.0,45.0,45.0,53.0,36.0,40.0,55.0,72.0,132,95.0
Monroe,1,3,2,1,10,19,17,39,5,53,74,45,,103000,140000,216944,141000,166950,166000,189900,200000,194900,245000,299230,345000,233,299,298,325,435,498,530,522,559,561,537,506,,128000,114500,121200,125000,137000,140850,146000,160000,168000,189900,225000,255000,1002,47123,47,123,TN,Tennessee,49.0,45.0,47.0,58.0,50.0,65.0,59.0,58.0,45.0,51.0,88.0,62.0,119.0,112.0,165.0,134.0,143.0,157.0,184.0,173.0,136.0,133.0,166.0,184.0,236.0,276.0,238.0,178.0,114.0,75.0,110.0,53.0,59.0,77.0,74.0,66.0,80.0,95.0,109.0,163.0,212.0,215,182.0
